"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Clifton","43.12","-79.07",NA,"America/Toronto","5","71171","6135638"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","ta","ta_mean","Tx","ww"
1868-04-18 07:00:00,0,NA,NA,NA
1868-04-18 07:00:00,NA,NA,NA,",SN NA"
1868-04-18 14:00:00,4.44,NA,NA,NA
1868-04-18 14:00:00,NA,NA,NA,",SCT NA"
1868-04-18 21:00:00,3.33,NA,NA,NA
1868-04-18 21:00:00,NA,NA,NA,",SKC NA"
1868-04-19,NA,6.11,NA,NA
1868-04-19,NA,NA,NA,NA
1868-04-19 07:00:00,7.22,NA,NA,NA
1868-04-19 07:00:00,NA,NA,NA,",SKC NA"
1868-04-19 14:00:00,5.56,NA,NA,NA
1868-04-19 14:00:00,NA,NA,NA,",RA NA"
1868-04-19 21:00:00,6.67,NA,NA,NA
1868-04-19 21:00:00,NA,NA,NA,",OVC NA"
1868-04-20,NA,8.89,NA,NA
1868-04-20,NA,NA,NA,NA
1868-04-20 07:00:00,8.89,NA,NA,NA
1868-04-20 07:00:00,NA,NA,NA,",OVC NA"
1868-04-20 14:00:00,11.11,NA,NA,NA
1868-04-20 14:00:00,NA,NA,NA,",OVC NA"
1868-04-20 21:00:00,7.78,NA,NA,NA
1868-04-20 21:00:00,NA,NA,NA,",OVC NA"
1868-04-21,NA,10.56,NA,NA
1868-04-21,NA,NA,NA,NA
1868-04-21 07:00:00,6.67,NA,NA,NA
1868-04-21 07:00:00,NA,NA,NA,",SKC NA"
1868-04-21 14:00:00,15.56,NA,NA,NA
1868-04-21 14:00:00,NA,NA,NA,",SKC NA"
1868-04-21 21:00:00,10,NA,NA,NA
1868-04-21 21:00:00,NA,NA,NA,",SKC NA"
1868-04-22,NA,5.56,NA,NA
1868-04-22,NA,NA,NA,NA
1868-04-22 07:00:00,4.44,NA,NA,NA
1868-04-22 07:00:00,NA,NA,NA,",SKC NA"
1868-04-22 14:00:00,10,NA,NA,NA
1868-04-22 14:00:00,NA,NA,NA,",BKN NA"
1868-04-22 21:00:00,2.78,NA,NA,NA
1868-04-22 21:00:00,NA,NA,NA,",OVC NA"
1868-04-23,NA,0.56,NA,NA
1868-04-23,NA,NA,NA,NA
1868-04-23 07:00:00,0,NA,NA,NA
1868-04-23 07:00:00,NA,NA,NA,",SN NA"
1868-04-23 14:00:00,1.67,NA,NA,NA
1868-04-23 14:00:00,NA,NA,NA,",BKN NA"
1868-04-23 21:00:00,0.56,NA,NA,NA
1868-04-23 21:00:00,NA,NA,NA,",SKC NA"
1868-04-24,NA,5.56,NA,NA
1868-04-24,NA,NA,NA,NA
1868-04-24 07:00:00,3.33,NA,NA,NA
1868-04-24 07:00:00,NA,NA,NA,",SKC NA"
1868-04-24 14:00:00,8.89,NA,NA,NA
1868-04-24 14:00:00,NA,NA,NA,",SCT NA"
1868-04-24 21:00:00,4.44,NA,NA,NA
1868-04-24 21:00:00,NA,NA,NA,",OVC NA"
1868-04-25,NA,6.67,NA,NA
1868-04-25,NA,NA,NA,NA
1868-04-25 07:00:00,4.44,NA,NA,NA
1868-04-25 07:00:00,NA,NA,NA,",OVC NA"
