	TranscriptionID: 1397 Invalid data: illegible on 1862-04-04 	Field: 85 - Pressure_7AM
	TranscriptionID: 1432 Invalid data: blew very hard from N all night on 1862-03-29  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: Blew very hard from N all night + the greater part of the day on 1862-03-30  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1432 Invalid data: The sun set red on 1862-03-31  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1433 Invalid data: Aur Bor very bright all over from 7 to 10 pm on 1862-04-01  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1433 Invalid data: Aur Borealis very bright all over 7pm on 1862-04-02  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1433 Invalid data: Aur Borealis very bright E to N at 7 pm - on 1862-04-03  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1434 Invalid data: the sun set red on 1862-05-01  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1434 Invalid data: the Aur.Bor. very bright all over from 8 to 10 pm on 1862-05-02  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1434 Invalid data: the sun set red on 1862-05-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1434 Invalid data: the sun set red on 1862-05-18  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1434 Invalid data: light wind very hard from 3 am til 4 when it ceased but [illegible] rain continued on 1862-05-23 	Field: 155 - Casual_Phenomena
	TranscriptionID: 1435 Invalid data: a light shower of rain at 6pm shortly after a double rainbow was [illegible] on 1862-06-09 	Field: 155 - Casual_Phenomena
	TranscriptionID: 1435 Invalid data: the sun set red on 1862-06-10  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1435 Invalid data: Ther 32[degrees] at sunrise on 1862-06-11  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1435 Invalid data: ther 32 [degrees] at sun rise on 1862-06-14  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1435 Invalid data: the sun rose very red on 1862-06-17  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1435 Invalid data: The sun very red at rising sometime after on 1862-06-25  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1435 Invalid data: the ther at 1pm 105[degrees] in the sun on 1862-06-30  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: The Aur.Bor. very faint at 10 pm E to N on 1862-08-01  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: the Aur.Bor at 8pm E to S on 1862-08-04  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: The Aur Bor fin 8 to 10 pm E to N on 1862-08-05  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: The Aur.Bor bright at 9 pm on 1862-08-10  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: the Aur.Bor. very bright at 8 pm on 1862-08-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: The Aur Bor very bright on 1862-08-18  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: The Aur Bor very bright on 1862-08-19  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: The Aur Bor on 1862-08-21  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: The Aur Bor very bright on 1862-08-22  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: The Aur Bor very bright on 1862-08-23  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: The Aur Bor very bright on 1862-08-24  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1437 Invalid data: The Aur Bor on 1862-08-29  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: The Aur.Bor. very bright at 7 pm on 1862-10-08  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: The Aur.Bor. very bright at 7 pm all over on 1862-10-12  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: The Aur Bor very bright at 9pm on 1862-10-13  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: The Aur Bor very bright on 1862-10-14  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: The Aur.Bor very bright all over at 8pm on 1862-10-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: the sky red some time before sunrise on 1862-10-17  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: the Aur.Bor very bright at 8pm on 1862-10-18  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: the Aur.Bor. bright at 7pm all over on 1862-10-21  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: Aur.Bor. bright at 8pm on 1862-10-24  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: The Aur Bor bright at 10 pm on 1862-10-25  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1442 Invalid data: The Aur Bor very bright at 6pm on 1862-10-26  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1443 Invalid data: Aur.Bor very bright at 8pm E to W on 1862-11-01  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1443 Invalid data: Aur Bor. very bright at 9pm E to NW on 1862-11-02  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1443 Invalid data: Aur Bor. faint at 8pm SE to NW low on 1862-11-04  Hour:0	Field: 155 - Casual_Phenomena
