"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"CoalHarbour","49.3","-123.1","18","America/Vancouver","8","71201","1108446"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta","w"
1884-02-05 06:00:00,NA,-6.7,NA
1884-02-05 07:00:00,NA,-6.7,NA
1884-02-05 08:00:00,NA,-5.6,NA
1884-02-05 09:00:00,NA,-1.1,NA
1884-02-05 10:00:00,NA,0,NA
1884-02-05 11:00:00,NA,1.1,NA
1884-02-05 12:00:00,NA,1.1,NA
1884-02-05 13:00:00,NA,1.7,NA
1884-02-05 14:00:00,NA,2.2,NA
1884-02-05 15:00:00,NA,2.2,NA
1884-02-05 16:00:00,NA,0.6,NA
1884-02-05 17:00:00,NA,-1.1,NA
1884-02-05 18:00:00,NA,-1.7,NA
1884-02-05 19:00:00,NA,-2.2,NA
1884-02-06,NA,NA,NA
1884-02-06 06:00:00,NA,-7.8,NA
1884-02-06 07:00:00,NA,-7.2,NA
1884-02-06 08:00:00,NA,-5,NA
1884-02-06 09:00:00,NA,1.1,NA
1884-02-06 10:00:00,NA,2.8,NA
1884-02-06 11:00:00,NA,2.8,NA
1884-02-06 12:00:00,NA,2.8,NA
