Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,27,,30,,,,,,,Clear,,,,,,42,,,,38,,,,clear,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,28,,,,,,,,,,,,,,,,,,,46,,,,cloudy + raining,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,29,,,47,,,,,,,,,,,,,,,,42,,,,cloudy ,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,30,,,,48,,,,,Cloudy,,,,,,,52,,,52,,,,[illegible],
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,1,,40,,,,,,,Clear,,,,,,,,,,38,,,,Clear,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,2,,46,,,,,,,,,,,,,,,,,56,,,,Clear,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,3,,,,,,,,,[illegible] rain,,,,,,,,,,,,,,[illegible],
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,4,,,,,,,,,,,,,,,,,,,44,,,,Cloudy with wind,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,5,,,,,,,,,Clear wind NW,,,,,,54,,,,39,,,,Clear calm,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,6,,36,,,,,,,clear NW wind,,,,58,,,42,,,,,,,,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,7,,32,,,,,,,Clear,,,,,,,,,,44,,,,part cloud NW Wind,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,8,,44,,,,,,,,,,,,,,,,,40,,,,raining wind W [illegible] North,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,9,,,40,40,,,,,[Raining],,,,,,,,,,40,,,,Raining calm,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,10,,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,11,,40,,,,,,,Clear WN [illegible],,,,,,,,,,41,,,,Clear w N. Wind,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,12,,37,,,,,,,Clear,,,,,,,,,,45,,,,"Clear, calm",
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,13,,40,,,,,,,,,,,,,,,,,50,,,,"Clear, calm",
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,14,,50,,,,,,,Cloudy,,,,,,,,,,54,,,,"Clear, calm",
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,May,15,,54,54,54,54,54,,83,[illegible],,,,64,,66,64,64,,57,,,,clear all evening,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,16,,48,,,,,,,clear,,78,,,,,,66,66,67,,,,clear,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,17,,,50,,,,,,clear,,,82,82,,82,,,,62,,,,clear,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,18,,56,,,,,,76,clear,,82,84,,,78,,60,,66,,,,clear,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,19,,61,,,,,80,81,clear,,84,,84,,,,58,,58,,,,cloudy,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,20,,60,,62,,,,,raining,,74,,,,64,,,,59,,,,clear at night,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,21,,54,,,,,60,,raining,,,,,,,,,,60,,,,cloudy,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,22,,44,,,,,,68,,,,60,,,60,,,,53,,,,cloudy,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,23,,50,,,,,,,,,,,,,,,,,32,,,,,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,24,,,,68,,,,,clear,,,,,,,,,60,,,,,[SW wind],
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,25,,58,,44,,,,,,,,,,,,,67,,62,,,,,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,26,,60,,,,,,,,,,,,,74,,,,56,,,,,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,27,,56,,,,,,,,,,,,,,,60,,56,,,,clear,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,28,,,,,,,,,clear,,,,,,,,,,60,,,,clear,part of observations cut off from image
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,29,,60,,,,,,,clear,,84,,,,73,,,,58,,,,"clear, Aurora borealis",
